id_aluno,nome,email,data_cadastro
1,Rafael Silva,rafael.silva@plataformaedu.com,2024-07-16
2,Gustavo Oliveira,gustavo.oliveira@medhub.com,2024-11-09
3,Fernanda Almeida,fernanda.almeida@medhub.com,2024-07-07
4,Ana Pereira,ana.pereira@aluno.med.br,2024-06-13
5,Carlos Silva,carlos.silva@aluno.med.br,2024-08-24
6,João Freitas,joão.freitas@aluno.med.br,2024-05-22
7,Fernanda Lima,fernanda.lima@plataformaedu.com,2024-05-22
8,Lucas Souza,lucas.souza@medhub.com,2024-11-18
9,João Mendes,joão.mendes@aluno.med.br,2024-07-07
10,Lucas Almeida,lucas.almeida@medhub.com,2024-06-28
